2025-05-17 23:14:22,sadness,My Grnadma Dies,Today my grandma died. It makes me so sad so muchh,Allow yourself to feel the sadness and don't try to suppress it.
2025-05-17 23:14:37,anger,My Grnadma Dies,I like you,Take a deep breath and count to ten.
2025-05-17 23:15:23,neutral,My Grnadma Dies,I love her,It seems like your diary entry doesn't express a strong emotion.
2025-05-17 23:17:32,joy,My Grnadma Dies,"Today was… fine. I woke up, ate breakfast, and went to school. Nothing exciting happened, but nothing bad either. I did my homework, watched some TV, and now I’m going to bed. I didn’t feel happy or sad—just normal. Maybe tomorrow will be more interesting.",Embrace this feeling and share it with others.
2025-05-17 23:19:11,fear,My Grnadma Dies,"I had a bad dream last night, and it made me nervous all day. At school, I kept thinking something bad would happen. My hands were shaky, and my stomach felt weird. I didn’t even want to talk to anyone. When I got home, I checked under my bed like a little kid. I know it’s silly, but I still feel scared. I hope I sleep better tonight.",Acknowledge your fear and try to understand its root cause.
2025-05-17 23:20:57,anger,bsdsjofbjodf,"Today was amazing! I woke up early and went to the park with my friends. We ate ice cream, played games, and laughed so much. The sun was shining, and I felt so happy. Later, I got a surprise gift from my mom—a book I really wanted! I couldn’t stop smiling all day. I wish every day could be like this.",Take a deep breath and count to ten.
2025-05-17 23:22:08,anger,bsdsjofbjodf,"Today was amazing! I woke up early and went to the park with my friends. We ate ice cream, played games, and laughed so much. The sun was shining, and I felt so happy. Later, I got a surprise gift from my mom—a book I really wanted! I couldn’t stop smiling all day. I wish every day could be like this.",Take a deep breath and count to ten.
2025-05-17 23:29:29,anger,Good Day,"Today was amazing! I woke up early and went to the park with my friends. We ate ice cream, played games, and laughed so much. The sun was shining, and I felt so happy. Later, I got a surprise gift from my mom—a book I really wanted! I couldn’t stop smiling all day. I wish every day could be like this.",Take a deep breath and count to ten.
2025-05-17 23:35:46,sadness,Surpised,Oh  my god that is so shocking,Allow yourself to feel the sadness and don't try to suppress it.
2025-05-17 23:39:13,surprise,Surpised,I as shocked,Embrace the unexpected and be open to new possibilities.
2025-05-17 23:39:55,neutral,Love,I loved her,It seems like your diary entry doesn't express a strong emotion.
2025-05-17 23:44:16,neutral,Love,I loved her,It seems like your diary entry doesn't express a strong emotion.
2025-05-17 23:45:30,neutral,Love,you are so supportive,It seems like your diary entry doesn't express a strong emotion.
2025-05-17 23:46:44,anger,Love,Today my crush supported me in my game,Take a deep breath and count to ten.
2025-05-17 23:47:28,love,Love,My crush is so supportive,Express your love to those you care about.
2025-05-17 23:51:21,anger,Love,I love you,Take a deep breath and count to ten.
2025-05-17 23:52:14,love,Love,he is so romantic,Express your love to those you care about.
2025-05-18 15:01:55,sadness,sdfgsdg,"I got into a big fight with my friend today. She said something mean, and I shouted back. Now I’m upset because we never fight like this. But I’m also scared—what if she doesn’t forgive me? What if we’re not friends anymore? My heart is pounding, and I don’t know what to do. I hate this feeling.",Allow yourself to feel the sadness and don't try to suppress it.
2025-05-18 15:02:39,joy,sdfgsdg,"I had a bad dream last night, and it made me nervous all day. At school, I kept thinking something bad would happen. My hands were shaky, and my stomach felt weird. I didn’t even want to talk to anyone. When I got home, I checked under my bed like a little kid. I know it’s silly, but I still feel scared. I hope I sleep better tonight.",Embrace this feeling and share it with others.
2025-05-18 15:08:14,sadness,sdfgsdg,I love you,Allow yourself to feel the sadness and don't try to suppress it.
2025-05-18 15:09:14,sadness,sdfadasc,i feel romantic too,Allow yourself to feel the sadness and don't try to suppress it.
2025-05-18 15:10:39,anger,sdfadasc,fuck you bitch,Take a deep breath and count to ten.
2025-05-18 15:11:07,sadness,sdfadasc,"I felt really down all day. It was raining outside, and I had no one to talk to. I scrolled through old photos and missed my best friend who moved away. I tried watching a funny show, but I just couldn’t laugh. Even my favorite snack didn’t taste good. I just wanted to hide under my blanket. Maybe tomorrow I’ll call someone and feel better.",Allow yourself to feel the sadness and don't try to suppress it.
2025-05-18 15:11:23,joy,sdfadasc,"Today was amazing! I woke up early and went to the park with my friends. We ate ice cream, played games, and laughed so much. The sun was shining, and I felt so happy. Later, I got a surprise gift from my mom—a book I really wanted! I couldn’t stop smiling all day. I wish every day could be like this.",Embrace this feeling and share it with others.
2025-05-18 15:11:35,joy,sdfadasc,"I had a bad dream last night, and it made me nervous all day. At school, I kept thinking something bad would happen. My hands were shaky, and my stomach felt weird. I didn’t even want to talk to anyone. When I got home, I checked under my bed like a little kid. I know it’s silly, but I still feel scared. I hope I sleep better tonight.",Embrace this feeling and share it with others.
2025-05-18 15:11:49,sadness,sdfadasc,"Today was… fine. I woke up, ate breakfast, and went to school. Nothing exciting happened, but nothing bad either. I did my homework, watched some TV, and now I’m going to bed. I didn’t feel happy or sad—just normal. Maybe tomorrow will be more interesting.",Allow yourself to feel the sadness and don't try to suppress it.
2025-05-18 15:13:03,neutral,sdfadasc,"Today was… fine. I woke up, ate breakfast, and went to school. Nothing exciting happened, but nothing bad either. I did my homework, watched some TV, and now I’m going to bed. I didn’t feel happy or sad—just normal. Maybe tomorrow will be more interesting.

",It seems like your diary entry doesn't express a strong emotion.
2025-05-18 15:13:52,sadness,sdfadasc,"Today reminded me why I love [person/pet/thing] so much. We spent the whole afternoon together—laughing at silly jokes, sharing stories, and just enjoying each other’s company. When they hugged me, I felt so warm and safe, like nothing bad could ever happen. I love their smile, their voice, the way they care about little things. I wish I could freeze time and stay in this moment forever. Love makes everything brighter.",Allow yourself to feel the sadness and don't try to suppress it.
2025-05-18 15:15:29,neutral,sdfadasc,he is so romantic,It seems like your diary entry doesn't express a strong emotion.
2025-05-18 15:16:12,joy,sdfadasc,i was ready to meet mom in the airport and feel her ever supportive arms around me,Embrace this feeling and share it with others.
